Date,Positive Return,Actual Value,Return
2019-01-04,1.0,0.0,0.04268930277240135
2019-01-07,0.0,0.0,-0.002225831939036471
2019-01-08,1.0,0.0,0.01906312082634498
2019-01-09,1.0,0.0,0.016981741682214002
2019-01-10,1.0,0.0,0.003196174424155096
2019-01-11,0.0,0.0,-0.009818008684413626
2019-01-14,0.0,0.0,-0.015037056846080588
2019-01-15,1.0,0.0,0.02046671549479173
2019-01-16,1.0,0.0,0.01221660042928363
2019-01-17,1.0,0.0,0.005937770455975322
2019-01-18,1.0,0.0,0.006159416849145227
2019-01-22,0.0,0.0,-0.022446142762788446
2019-01-23,1.0,0.0,0.004044325537150728
2019-01-24,0.0,1.0,-0.00792620345125028
2019-01-25,1.0,1.0,0.03313685435310676
2019-01-28,0.0,0.0,-0.0092545100527045
2019-01-29,0.0,1.0,-0.010364749483978586
2019-01-30,1.0,1.0,0.06833467691179762
2019-01-31,1.0,1.0,0.007201225061459927
2019-02-01,1.0,1.0,0.0004806646832564709
2019-02-04,1.0,1.0,0.028404970010688983
2019-02-05,1.0,1.0,0.017109446281934337
2019-02-06,1.0,1.0,0.0003445448381349525
2019-02-07,0.0,1.0,-0.01893941085698192
2019-02-08,0.0,1.0,-0.003100495915100643
2019-02-11,0.0,1.0,-0.0057509005649181155
2019-02-12,1.0,1.0,0.008617168016179066
2019-02-13,0.0,1.0,-0.004154758712640039
2019-02-14,1.0,1.0,0.003643262443651541
2019-02-15,0.0,1.0,-0.0022248529041146714
2019-02-19,1.0,1.0,0.002992574300642481
2019-02-20,1.0,1.0,0.006435418888726563
2019-02-21,0.0,1.0,-0.005638558551334882
2019-02-22,1.0,1.0,0.011165694431014785
2019-02-25,1.0,1.0,0.0072844683930379794
2019-02-26,1.0,1.0,0.0005739890143372506
2019-02-27,1.0,1.0,0.003097535022434705
2019-02-28,0.0,1.0,-0.009835885336134886
2019-03-01,1.0,1.0,0.010511160198520164
2019-03-04,1.0,1.0,0.005029461488672561
2019-03-05,0.0,1.0,-0.0018197743139706235
2019-03-06,0.0,1.0,-0.005753970910156836
2019-03-07,0.0,1.0,-0.01157462882769189
2019-03-08,1.0,1.0,0.0023768328238225056
2019-03-11,1.0,1.0,0.03464224225036916
2019-03-12,1.0,1.0,0.011235381968699444
2019-03-13,1.0,1.0,0.004422105110627239
2019-03-14,1.0,1.0,0.011116553514043392
2019-03-15,1.0,1.0,0.013008215562104963
2019-03-18,1.0,1.0,0.010208517113258651
2019-03-19,0.0,1.0,-0.007924717898659783
2019-03-20,1.0,1.0,0.008738566951588034
2019-03-21,1.0,1.0,0.03683031750055599
2019-03-22,0.0,1.0,-0.020708356973546
2019-03-25,0.0,1.0,-0.012091062662626271
2019-03-26,0.0,1.0,-0.010331737576970037
2019-03-27,1.0,1.0,0.008994100299563712
2019-03-28,1.0,1.0,0.0013264710478100294
2019-03-29,1.0,1.0,0.006517569518774025
2019-04-01,1.0,1.0,0.006791305952341675
2019-04-02,1.0,1.0,0.014536701001068852
2019-04-03,1.0,1.0,0.0068549726923363705
2019-04-04,1.0,1.0,0.0017404470297812669
2019-04-05,1.0,1.0,0.006694248772294742
2019-04-08,1.0,1.0,0.01573607159144985
2019-04-09,0.0,1.0,-0.0029985311604899807
2019-04-10,1.0,1.0,0.0056140106124686895
2019-04-11,0.0,1.0,-0.008324186071133277
2019-04-12,0.0,1.0,-0.00040212029294728335
2019-04-15,1.0,1.0,0.0018102309005409989
2019-04-16,1.0,1.0,0.00010040793499932475
2019-04-17,1.0,1.0,0.01947304834535757
2019-04-18,1.0,1.0,0.0035937365725964288
2019-04-22,1.0,1.0,0.003286560222404366
2019-04-23,1.0,1.0,0.014423297148822956
2019-04-24,0.0,1.0,-0.0015422791209707132
2019-04-25,0.0,1.0,-0.009075134435114762
2019-04-26,0.0,1.0,-0.004773946479767366
2019-04-29,1.0,1.0,0.0015173644344743664
2019-04-30,0.0,1.0,-0.01925615771298184
2019-05-01,1.0,1.0,0.04908559422631198
2019-05-02,0.0,1.0,-0.006507744386150871
2019-05-03,1.0,1.0,0.012431298969114213
2019-05-06,0.0,1.0,-0.015442759256013903
2019-05-07,0.0,1.0,-0.026956999387760083
2019-05-08,1.0,1.0,0.00019714722474861723
2019-05-09,0.0,1.0,-0.010744173195458284
2019-05-10,0.0,1.0,-0.017636551033244685
2019-05-13,0.0,1.0,-0.0581194435579554
2019-05-14,1.0,1.0,0.015830295186744392
2019-05-15,1.0,1.0,0.01197919253136237
2019-05-16,0.0,1.0,-0.0043997294466099355
2019-05-17,0.0,1.0,-0.005681827760158575
2019-05-20,0.0,1.0,-0.031269860646081386
2019-05-21,1.0,1.0,0.01917095327888529
2019-05-22,0.0,1.0,-0.020471635580224024
2019-05-23,0.0,1.0,-0.01706967468007714
2019-05-24,0.0,1.0,-0.0038406012876630595
2019-05-28,0.0,1.0,-0.004134801855711578
2019-05-29,0.0,1.0,-0.004769067301252372
2019-05-30,1.0,1.0,0.005186594563198366
2019-05-31,0.0,1.0,-0.01811551134186717
2019-06-03,0.0,1.0,-0.010110265598966885
2019-06-04,1.0,1.0,0.036583936677699436
2019-06-05,1.0,0.0,0.01614336398540139
2019-06-06,1.0,0.0,0.01468175760458901
2019-06-07,1.0,0.0,0.026616956285983484
2019-06-10,1.0,1.0,0.01277942683444522
2019-06-11,1.0,1.0,0.011579580986271765
2019-06-12,0.0,1.0,-0.0031825631382240704
2019-06-13,0.0,1.0,-0.0002060278305725527
2019-06-14,0.0,1.0,-0.007262366457101654
2019-06-17,1.0,1.0,0.005966555275029206
2019-06-18,1.0,1.0,0.023518477347714173
2019-06-19,0.0,1.0,-0.0029226598134237673
2019-06-20,1.0,1.0,0.008035637721312883
2019-06-21,0.0,1.0,-0.0034092445186056923
2019-06-24,0.0,1.0,-0.0010061220921137037
2019-06-25,0.0,1.0,-0.015157591293592287
2019-06-26,1.0,1.0,0.021629061559150564
2019-06-27,0.0,1.0,-0.00030028807646320654
2019-06-28,0.0,1.0,-0.009111881817190805
2019-07-01,1.0,1.0,0.018340768575158872
2019-07-02,1.0,1.0,0.005854590215403022
2019-07-03,1.0,1.0,0.008286923346203734
2019-07-05,0.0,1.0,-0.0008806219428862949
2019-07-08,0.0,1.0,-0.02061397220364547
2019-07-09,1.0,1.0,0.00609939603361509
2019-07-10,1.0,1.0,0.009888641324066194
2019-07-11,0.0,1.0,-0.007282368541321137
2019-07-12,1.0,1.0,0.0076827908389482955
2019-07-15,1.0,1.0,0.009395000656360564
2019-07-16,0.0,1.0,-0.0034599029805461035
2019-07-17,0.0,1.0,-0.00562344203659837
2019-07-18,1.0,1.0,0.011359712265844868
2019-07-19,0.0,1.0,-0.014927585673209618
2019-07-22,1.0,1.0,0.02285406469473616
2019-07-23,1.0,1.0,0.00781775459726064
2019-07-24,0.0,1.0,-0.0008140115491587219
2019-07-25,0.0,1.0,-0.0079071927491392
2019-07-26,1.0,1.0,0.0034779306629495466
2019-07-29,1.0,1.0,0.009338534376235108
2019-07-30,0.0,1.0,-0.0042922259057687215
2019-07-31,1.0,1.0,0.02040422708948864
2019-08-01,0.0,1.0,-0.02163913234901349
2019-08-02,0.0,1.0,-0.021158127708521213
2019-08-05,0.0,1.0,-0.0523478468332329
2019-08-06,1.0,1.0,0.018930401010833545
2019-08-07,1.0,1.0,0.010355295868694549
2019-08-08,1.0,1.0,0.02205586584469743
2019-08-09,0.0,1.0,-0.011994235218333538
2019-08-12,0.0,1.0,-0.002537488191881043
2019-08-13,1.0,1.0,0.04234839222912967
2019-08-14,0.0,1.0,-0.02976504371138844
2019-08-15,0.0,1.0,-0.004981477222372077
2019-08-16,1.0,1.0,0.023594698013415183
2019-08-19,1.0,1.0,0.01864409735358663
2019-08-20,1.0,1.0,4.75136988160596e-05
2019-08-21,1.0,1.0,0.010838556629975129
2019-08-22,0.0,1.0,-0.0008464666868787107
2019-08-23,0.0,1.0,-0.04622049804151585
2019-08-26,1.0,1.0,0.01899924059964397
2019-08-27,0.0,1.0,-0.0112838479784525
2019-08-28,1.0,1.0,0.006710399160527514
2019-08-29,1.0,1.0,0.01693181408168054
2019-08-30,0.0,1.0,-0.0012917516901951311
2019-09-03,0.0,1.0,-0.014563612460101403
2019-09-04,1.0,1.0,0.016966482960338647
2019-09-05,1.0,1.0,0.01955158607083152
